version,interestingApp,status,name,latestUpdate,storeName,releaseDate,providerCategory,healthEntityInvolved,EU,geographicCoverage,continents,appCategory,appFunctionalityCategory,appFunctionality,typesOfPersonalData ,clearPrivacyPolicy 
,yes,active,COVID-19.eus,,AppStore (iOS),2020-03-29T07:00:00Z,other type of company,health authority,yes,ESP,Europe,covid-19 specific,information provision; information exchange; notifications; contact tracing,self-diagnosis with data sharing; occasional location sharing,health status; location as province/region,yes
1,no,active,Cue Health,2020-07-14T05:11:54,AppStore (iOS),2020-07-13T07:00:00Z,technology company,no,no,USA,North America,covid-19 specific,information exchange,,,
1,yes,active,YUNAL COVID-19 APP,2020-07-27T18:01:08,AppStore (iOS),2020-07-21T07:00:00Z,local/regional government,na,no,IND,Asia,covid-19 specific,information exchange,self-diagnosis with data sharing; sending notifications; sending instructions,location as gps/cell tower data; health status; other,na
11.2,no,active,CoronApp-HUG,2020-04-23T23:17:58,AppStore (iOS),2020-03-17T07:00:00Z,university(ies) or research centre(s),medicine research institute(s) university(ies),no,CHE,Europe,covid-19 specific,information provision; personalised support without data sharing,,,
1,no,active,Coronavirus Karantina,2020-05-01T22:49:47,AppStore (iOS),2020-05-01T07:00:00Z,technology company,no,no,TUR,Europe,covid-19 specific,information provision,statistics; prevention; news,,
1,no,active,EPITest,2020-04-06T07:01:05,AppStore (iOS),2020-04-06T07:00:00Z,local/regional government,health facilities,no,CHL,South America,covid-19 specific,expert support,manage test,,
1,no,active,Artemis COVID-19,2020-05-30T21:56:22,AppStore (iOS),2020-05-30T07:00:00Z,health company,consortium,no,USA,North America,covid-19 specific,information exchange,,,
,no,notactive,CoVive: your COVID-19 app,,AppStore (iOS),2020-04-11T07:00:00Z,health company,no,yes,DEU,Europe,covid-19 specific,information provision,self-diagnosis without data sharing,,
1,no,active,BeWellXcel,2020-05-12T22:28:00,AppStore (iOS),2020-04-03T07:00:00Z,technology company,consortium,no,USA,North America,covid-19 specific,information provision,,,
1,no,active,MedXperts,2020-04-23T14:52:26,AppStore (iOS),2018-10-14T18:36:25Z,health company,na,no,IND,Asia,health-generic,expert support; information exchange; other-health,,,
4.6.0,no,active,Grid by Pragyaam,2020-05-04T16:51:41,AppStore (iOS),2018-12-01T19:46:38Z,technology company,no,no,IND,Asia,other,other,,,
,no,active,QR-DNUM,,AppStore (iOS),2020-04-16T07:00:00Z,national government,health authority,yes,FRA,Europe,other,other,,,
5.4.22,no,active,Colab,2020-04-30T14:34:23,AppStore (iOS),2013-03-21T19:05:08Z,technology company,no,no,BRA,South America,covid-19 influenced,information provision,,,
1.0,yes,active,CRUSH COVID RI,2020-05-15T20:05:09,AppStore (iOS),2020-05-18T07:00:00Z,local/regional government,health authority,no,USA,North America,covid-19 specific,information provision; personalised support without data sharing; contact tracing; notifications,news; access to health services; access to health services; occasional location sharing; sending notifications,proximity; location as gps/cell tower data; health status; other,yes
,no,active,Corona Checker,,AppStore (iOS),2020-03-26T07:00:00Z,health company,health authority,no,USA,North America,covid-19 specific,information provision,access to health services,,
1,no,notactive,NOVO HCS MDx Patient,2020-04-17T21:20:33,AppStore (iOS),2020-04-17T07:00:00Z,health company,no,no,USA,North America,covid-19 influenced,personalised support without data sharing,,,
,yes,active,Asistencia COVID-19,,AppStore (iOS),2020-04-05T07:00:00Z,national government,no,yes,ESP,Europe,covid-19 specific,information provision,self-diagnosis without data sharing; news,health status; location as gps/cell tower data,yes
1.2.42,no,active,CoronApp-Colombia,2020-05-12T06:41:57,AppStore (iOS),2020-03-15T07:00:00Z,national government,health authority; health facilities,no,COL,South America,covid-19 specific,information provision; information exchange; lockdown management,,,
1,yes,active,KovidPower,2020-05-08T15:13:22,AppStore (iOS),2020-05-08T07:00:00Z,health company,no,no,USA,North America,covid-19 specific,expert support; information exchange; information provision,telemedicine; prevention; symptoms monitoring with data sharing; communication with a doctor,health status; other,yes
1,yes,active,Asistencia COVID19,2020-07-21T16:29:22,AppStore (iOS),2020-07-21T07:00:00Z,university(ies) or research centre(s),no,no,CHL,South America,covid-19 specific,information provision; information exchange,prevention; access to health services,location as gps/cell tower data; other,na
1.7,no,active,Nepal Police,2020-04-08T09:41:29,AppStore (iOS),2018-11-07T10:17:36Z,local/regional government,na,no,NPL,Asia,other,other,,,
1,yes,active,9SOS,2020-07-04T00:36:21,AppStore (iOS),2020-07-03T07:00:00Z,non-profit organization,no,yes,ROU,Europe,covid-19 influenced,information exchange; lockdown management,self-diagnosis with data sharing; risk assessment with data sharing,health status; other,na
1,no,active,CoronaVirus info Rangeview,2020-05-18T19:16:00,AppStore (iOS),2020-05-18T07:00:00Z,other type of company,no,no,USA,North America,covid-19 specific,information provision,,,
1,no,active,Asistente COVID-19 Sinaloa,2020-05-15T15:59:30,AppStore (iOS),2020-05-15T07:00:00Z,local/regional government,no,no,MEX,North America,covid-19 specific,information provision; information exchange; personalised support without data sharing,,,
1,no,notactive,Central Coast COVID-19 Info,2020-03-26T03:39:27,AppStore (iOS),2020-03-25T07:00:00Z,health company,consortium,no,AUS,Oceania,covid-19 specific,information provision,,,
1,no,active,COVID19 Sounds,2020-05-27T21:04:38,AppStore (iOS),2020-05-27T07:00:00Z,university(ies) or research centre(s),no,no,GBR,Europe,covid-19 specific,information exchange,,location as gps/cell tower data; health status; other,yes
0.11.0,yes,active,SafeEntry (Business),2020-05-30T17:30:15,AppStore (iOS),2020-05-24T07:00:00Z,national government,na,no,SGP,Asia,covid-19 specific,contact tracing; notifications,occasional location sharing; proximity tracking; sending notifications; sending instructions,location as gps/cell tower data; other,no
2.1.4,no,active,VNPT Health,2020-04-03T02:44:12,AppStore (iOS),2018-04-22T04:56:03Z,other type of company,health facilities,no,VNM,Asia,health-generic,expert support; information exchange,,,
1,no,active,TeleMed2U,2020-05-13T11:58:31,AppStore (iOS),2020-04-18T07:00:00Z,health company,health facilities,no,USA,North America,health-generic,expert support;  information exchange,,,
1.7.4,no,active,Karantinas,2020-05-12T08:57:20,AppStore (iOS),2020-04-06T07:00:00Z,national government,na,yes,LTU,Europe,covid-19 specific,information provision; personalised support without data sharing; lockdown management; notifications,prevention; news; access to health services; symptoms monitoring with data sharing; sending instructions; mobility for citizen in lockdown;,,no
2.0.1,no,active,Hayat Eve Sığar,2020-05-13T22:25:14,AppStore (iOS),2020-04-14T07:00:00Z,national government,health authority,no,TUR,Europe,covid-19 specific,information provision; information exchange,,,
1,no,active,Bersatu Lawan COVID-19,2020-05-23T14:09:08,AppStore (iOS),2020-05-23T07:00:00Z,technology company,consortium,no,IDN,Asia,covid-19 specific,expert support; information provision; information exchange,,,
1.0.2,no,active,MAFFアプリ,2020-05-05T09:40:18,AppStore (iOS),2020-04-30T07:00:00Z,national government,na,no,JPN,Asia,other,other,,,
1,yes,active,Coronavírus - Lagarto / SE,2020-06-04T15:26:47,AppStore (iOS),2020-06-04T07:00:00Z,local/regional government,health authority,no,BRA,South America,covid-19 specific,information provision; information exchange; notifications,news; statistics; self-diagnosis with data sharing; symptoms monitoring with data sharing; risk assessment with data sharing; communication with a doctor; sending notifications; sending instructions,health status; other,na
1.5,no,active,COVI,2020-05-17T12:05:39,AppStore (iOS),2016-04-12T16:43:16Z,technology company,health authority,no,QAT,Asia,covid-19 specific,information provision; personalised support without data sharing; information exchange; notifications,,,
,no,active,BCBSIL,,AppStore (iOS),2012-11-02T20:15:15Z,health company,no,no,USA,North America,health-generic,information provision; other-health,,,
4.0,yes,active,First Responder COVID-19 Guide,2020-05-16T01:14:10,AppStore (iOS),2020-04-07T07:00:00Z,university(ies) or research centre(s),medicine research institute(s) university(ies),no,USA,North America,covid-19 specific,information provision; personalised support without data sharing; information exchange,statistics; prevention; news; symptoms monitoring without data sharing; risk assessment without data sharing; symptoms monitoring with data sharing; risk assessment with data sharing,health status; other,yes
1,yes,active,Covid Nearby,2020-07-13T15:32:39,AppStore (iOS),2020-07-13T07:00:00Z,university(ies) or research centre(s),no,no,USA,North America,covid-19 specific,information provision; information exchange; contact tracing,statistics; symptoms monitoring with data sharing; occasional location sharing,location as province/region; health status; location as gps/cell tower data; other,no
1,no,active,Beginnings by Allina Health,2020-06-25T13:30:05,AppStore (iOS),2018-02-21T23:52:30Z,health company,no,no,USA,North America,health-generic,other-health,,,
1,yes,active,mCOVID-19,2020-05-01T12:36:48,AppStore (iOS),2020-04-29T07:00:00Z,local/regional government,no,no,IND,Asia,covid-19 specific,lockdown management; information provision; information exchange; personalised support without data sharing; other,prevention; news;self-diagnosis without data sharing;symptoms monitoring with data sharing; communication with a doctor; mobility for citizen in lockdown; mobility checking,location as province/region; location as gps/cell tower data; health status; location as gps/cell tower data; health status; other,no
1,no,notactive,PreMedicus® ER,2020-04-18T14:42:29,AppStore (iOS),2020-04-18T14:42:29Z,health company,no,no,USA,North America,health-generic, information exchange; expert support,,,
1,no,active,REDVICAN,2020-04-29T16:00:25,AppStore (iOS),2019-11-15T08:00:00Z,non-profit organization,no,yes,ESP,Europe,other,other,,,
1,yes,active,Covid and Care,2020-06-16T12:09:21,AppStore (iOS),2020-06-16T07:00:00Z,university(ies) or research centre(s),na,no,ARG,South America,covid-19 specific,expert support; information exchange,monitor overall situation; telemedicine; communication with a doctor; symptoms monitoring with data sharing,health status; positive status,na
1,no,notactive,Sentinel Monitor,2020-04-23T20:04:45,AppStore (iOS),2020-03-08T08:00:00Z,health company,health facilities,no,USA,North America,covid-19 specific,personalised support without data sharing,,,
1,no,active,COVapp,2020-04-21T13:19:48,AppStore (iOS),2020-04-17T07:00:00Z,university(ies) or research centre(s),health facilities,yes,DEU,Europe,covid-19 specific,expert support,telemedicine,,
1,no,active,Keet Sentinel,2020-06-23T23:26:20,AppStore (iOS),2020-04-15T07:00:00Z,health company,health facilities,no,USA,North America,covid-19 specific,expert support; information exchange,monitor overall situation; recruitment; risk assessment with data sharing,,
,no,active,Enroll MHC,,AppStore (iOS),2016-09-02T03:52:43Z,local/regional government,health authority,no,USA,North America,health-generic,information provision; other-health,,,
,no,active,Your Blue Touch RI,,AppStore (iOS),2016-06-20T20:13:24Z,health company,no,no,USA,North America,health-generic,information provision; other-health,,,
1.0.221,no,active,beSafeMoris,2020-05-17T10:47:55,AppStore (iOS),2020-03-25T07:00:00Z,technology company,health authority,no,MUS,Africa,covid-19 specific,information provision; notifications,,,
1.6.0,no,active,allertaLOM,2020-04-20T13:21:27,AppStore (iOS),2019-12-11T08:00:00Z,local/regional government,health authority,yes,ITA,Europe,covid-19 influenced,information exchange; notifications,,,
1,no,active,e-Covid SINFONIA,2020-05-26T17:12:00,AppStore (iOS),2020-05-22T07:00:00Z,health company,consortium,yes,ITA,Europe,covid-19 specific,information exchange,,,
1,no,active,Care Workforce,2020-04-30T12:30:26,AppStore (iOS),2020-04-29T07:00:00Z,national government,health authority,no,GBR,Europe,covid-19 specific,information provision; notifications,,,
,yes,active,TraceTogether,,AppStore (iOS),2020-03-18T07:00:00Z,national government,no,no,SGP,Asia,covid-19 specific,information exchange; contact tracing; notifications,continuous location sharing,proximity; positive status,yes
2,no,active,Quidate,2020-05-14T16:34:15,AppStore (iOS),2020-04-21T07:00:00Z,local/regional government,no,no,COL,South America,covid-19 specific,information provision; information exchange; personalised support without data sharing; notifications,,,
1.5.0,no,active,PIKOBAR Jawa Barat,2020-05-15T07:48:41,AppStore (iOS),2020-05-02T07:00:00Z,local/regional government,health authority,no,IDN,Asia,covid-19 specific,information provision; information exchange,,,
1,yes,active,patientMpower for Covid 19 USA,2020-04-30T19:09:19,AppStore (iOS),2020-04-27T07:00:00Z,health company,no,no,USA,North America,covid-19 specific, information exchange; expert support,telemedicine; help in self-isolation; medication; access to health services; symptoms monitoring with data sharing; symptoms monitoring with data sharing; manage self-isolation; communication with a doctor,location as gps/cell tower data; health status; other,yes
